,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
0,Eden Hazard,Left Winger,28,150000000,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,115000000,2019
1,Antoine Griezmann,Second Striker,28,130000000,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,FC Barcelona,120000000,2019
2,João Félix,Second Striker,19,70000000,Portugal,Liga NOS,SL Benfica,Spain,LaLiga,Atlético de Madrid,127000000,2019
3,Christian Eriksen,Central Midfield,27,90000000,England,Premier League,Tottenham Hotspur,Italy,Serie A,Inter Milan,27000000,2019
4,Philippe Coutinho,Left Winger,27,90000000,Spain,LaLiga,FC Barcelona,Germany,Bundesliga,Bayern Munich,8000000,2019
5,Harry Maguire,Centre-Back,26,50000000,England,Premier League,Leicester City,England,Premier League,Manchester United,87000000,2019
6,Frenkie de Jong,Central Midfield,22,85000000,Netherlands,Eredivisie,Ajax Amsterdam,Spain,LaLiga,FC Barcelona,86000000,2019
7,Matthijs de Ligt,Centre-Back,19,75000000,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Juventus FC,85000000,2019
8,Lucas Hernández,Centre-Back,23,70000000,Spain,LaLiga,Atlético de Madrid,Germany,Bundesliga,Bayern Munich,80000000,2019
9,Nicolas Pépé,Right Winger,24,65000000,France,Ligue 1,LOSC Lille,England,Premier League,Arsenal FC,80000000,2019
10,Rodri,Defensive Midfield,23,80000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Manchester City,70000000,2019
11,Mauro Icardi,Centre-Forward,26,80000000,Italy,Serie A,Inter Milan,France,Ligue 1,Paris Saint-Germain,loan transfer,2019
12,Romelu Lukaku,Centre-Forward,26,75000000,England,Premier League,Manchester United,Italy,Serie A,Inter Milan,74000000,2019
13,João Cancelo,Right-Back,25,55000000,Italy,Serie A,Juventus FC,England,Premier League,Manchester City,65000000,2019
14,Tanguy Ndombélé,Central Midfield,22,65000000,France,Ligue 1,Olympique Lyon,England,Premier League,Tottenham Hotspur,62000000,2019
15,Luka Jović,Centre-Forward,21,60000000,Germany,Bundesliga,Eintracht Frankfurt,Spain,LaLiga,Real Madrid,63000000,2019
16,Bruno Fernandes,Attacking Midfield,25,60000000,Portugal,Liga NOS,Sporting CP,England,Premier League,Manchester United,63000000,2019
17,Luka Jović,Centre-Forward,21,60000000,Portugal,Liga NOS,SL Benfica,Germany,Bundesliga,Eintracht Frankfurt,22000000,2019
18,Nabil Fekir,Attacking Midfield,26,60000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Real Betis Balompié,19000000,2019
19,Aaron Wan-Bissaka,Right-Back,21,35000000,England,Premier League,Crystal Palace,England,Premier League,Manchester United,55000000,2019
20,Éder Militão,Centre-Back,21,50000000,Portugal,Liga NOS,FC Porto,Spain,LaLiga,Real Madrid,50000000,2019
21,Sébastien Haller,Centre-Forward,25,40000000,Germany,Bundesliga,Eintracht Frankfurt,England,Premier League,West Ham United,50000000,2019
22,Julian Brandt,Attacking Midfield,23,50000000,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,Borussia Dortmund,25000000,2019
23,Giovani Lo Celso,Central Midfield,23,50000000,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Real Betis Balompié,22000000,2019
24,Giovani Lo Celso,Central Midfield,23,50000000,Spain,LaLiga,Real Betis Balompié,England,Premier League,Tottenham Hotspur,16000000,2019
25,Ferland Mendy,Left-Back,24,30000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Real Madrid,48000000,2019
26,Rodrygo,Right Winger,18,40000000,Brazil,Série A,Santos FC,Spain,LaLiga,Real Madrid,45000000,2019
27,Mateo Kovacic,Central Midfield,25,35000000,Spain,LaLiga,Real Madrid,England,Premier League,Chelsea FC,45000000,2019
28,Youri Tielemans,Central Midfield,22,38000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Leicester City,45000000,2019
29,Hirving Lozano,Right Winger,24,40000000,Netherlands,Eredivisie,PSV Eindhoven,Italy,Serie A,SSC Napoli,45000000,2019
30,Konstantinos Manolas,Centre-Back,28,45000000,Italy,Serie A,AS Roma,Italy,Serie A,SSC Napoli,36000000,2019
31,Erling Haaland,Centre-Forward,19,45000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Dortmund,20000000,2019
32,Duván Zapata,Centre-Forward,28,45000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Atalanta BC,12000000,2019
33,Joelinton,Attacking Midfield,22,35000000,Germany,Bundesliga,TSG 1899 Hoffenheim,England,Premier League,Newcastle United,44000000,2019
34,Paco Alcácer,Centre-Forward,26,42000000,Germany,Bundesliga,Borussia Dortmund,Spain,LaLiga,Villarreal CF,23000000,2019
35,Malcom,Right Winger,22,40000000,Spain,LaLiga,FC Barcelona,Russia,Premier Liga,Zenit St. Petersburg,40000000,2019
36,Wissam Ben Yedder,Centre-Forward,29,40000000,Spain,LaLiga,Sevilla FC,Monaco,Ligue 1,AS Monaco,40000000,2019
37,Moise Kean,Centre-Forward,19,40000000,Italy,Serie A,Juventus FC,England,Premier League,Everton FC,27000000,2019
38,Pablo Sarabia,Right Winger,27,40000000,Spain,LaLiga,Sevilla FC,France,Ligue 1,Paris Saint-Germain,18000000,2019
