;name;position;age;market_value;country_from;league_from;club_from;country_to;league_to;club_to;fee
12;João Cancelo;Right-Back;28;70000000;England;Premier League;Manchester City;Germany;Bundesliga;Bayern Munich;0
27;Paul Pogba;Central Midfield;29;48000000;England;Premier League;Manchester United;Italy;Serie A;Juventus FC;0
31;Franck Kessié;Central Midfield;25;45000000;Italy;Serie A;AC Milan;Spain;LaLiga;FC Barcelona;0
41;Antonio Rüdiger;Centre-Back;29;40000000;England;Premier League;Chelsea FC;Spain;LaLiga;Real Madrid;0
57;Niklas Süle;Centre-Back;26;35000000;Germany;Bundesliga;Bayern Munich;Germany;Bundesliga;Borussia Dortmund;0
58;Paulo Dybala;Second Striker;28;35000000;Italy;Serie A;Juventus FC;Italy;Serie A;AS Roma;0
59;Andreas Christensen;Centre-Back;26;35000000;England;Premier League;Chelsea FC;Spain;LaLiga;FC Barcelona;0
64;Gonçalo Guedes;Second Striker;26;32000000;England;Premier League;Wolverhampton Wanderers;Portugal;Liga Portugal;SL Benfica;0
73;Angeliño;Left-Back;25;30000000;Germany;Bundesliga;RB Leipzig;Germany;Bundesliga;TSG 1899 Hoffenheim;0
78;Hugo Ekitiké;Centre-Forward;20;28000000;France;Ligue 1;Stade Reims;France;Ligue 1;Paris Saint-Germain;0
95;Lorenzo Insigne;Left Winger;31;25000000;Italy;Serie A;SSC Napoli;Canada;MLS;Toronto FC;0
96;Boubacar Kamara;Defensive Midfield;22;25000000;France;Ligue 1;Olympique Marseille;England;Premier League;Aston Villa;0
97;Conor Coady;Centre-Back;29;25000000;England;Premier League;Wolverhampton Wanderers;England;Premier League;Everton FC;0
98;Nicolas Pépé;Right Winger;27;25000000;England;Premier League;Arsenal FC;France;Ligue 1;OGC Nice;0
99;Callum Hudson-Odoi;Left Winger;21;25000000;England;Premier League;Chelsea FC;Germany;Bundesliga;Bayer 04 Leverkusen;0
100;Lorenzo Insigne;Left Winger;31;25000000;Italy;Serie A;SSC Napoli;Canada;MLS;Toronto FC;0
111;Giovani Lo Celso;Central Midfield;26;22000000;England;Premier League;Tottenham Hotspur;Spain;LaLiga;Villarreal CF;0
112;Jan Bednarek;Centre-Back;26;22000000;England;Premier League;Southampton FC;England;Premier League;Aston Villa;0
113;Julian Weigl;Defensive Midfield;26;22000000;Portugal;Liga Portugal;SL Benfica;Germany;Bundesliga;Borussia Mönchengladbach;0
114;Mauro Icardi;Centre-Forward;29;22000000;France;Ligue 1;Paris Saint-Germain;Turkey;Süper Lig;Galatasaray;0
115;James Tarkowski;Centre-Back;29;22000000;England;Championship;Burnley FC;England;Premier League;Everton FC;0
116;Hamed Junior Traorè;Attacking Midfield;22;22000000;Italy;Serie A;US Sassuolo;England;Premier League;AFC Bournemouth;0
139;Héctor Bellerín;Right-Back;27;20000000;England;Premier League;Arsenal FC;Spain;LaLiga;FC Barcelona;0
140;Matheus Cunha;Centre-Forward;23;20000000;Spain;LaLiga;Atlético de Madrid;England;Premier League;Wolverhampton Wanderers;0
141;Marcel Sabitzer;Central Midfield;28;20000000;Germany;Bundesliga;Bayern Munich;England;Premier League;Manchester United;0
142;Andrea Pinamonti;Centre-Forward;23;20000000;Italy;Serie A;Inter Milan;Italy;Serie A;US Sassuolo;0
143;Nico González;Central Midfield;20;20000000;Spain;LaLiga;FC Barcelona;Spain;LaLiga;Valencia CF;0
144;Andrea Belotti;Centre-Forward;28;20000000;Italy;Serie A;Torino FC;Italy;Serie A;AS Roma;0
145;Noussair Mazraoui;Right-Back;24;20000000;Netherlands;Eredivisie;Ajax Amsterdam;Germany;Bundesliga;Bayern Munich;0
146;Christian Eriksen;Central Midfield;30;20000000;England;Premier League;Brentford FC;England;Premier League;Manchester United;0
167;Matthias Ginter;Centre-Back;28;18000000;Germany;Bundesliga;Borussia Mönchengladbach;Germany;Bundesliga;SC Freiburg;0
168;André Gomes;Central Midfield;29;18000000;England;Premier League;Everton FC;France;Ligue 1;LOSC Lille;0
169;Sergiño Dest;Right-Back;21;18000000;Spain;LaLiga;FC Barcelona;Italy;Serie A;AC Milan;0
170;Nathan Redmond;Left Winger;28;18000000;England;Premier League;Southampton FC;Turkey;Süper Lig;Besiktas JK;0
171;Daniel James;Right Winger;24;18000000;England;Premier League;Leeds United;England;Premier League;Fulham FC;0
172;Georginio Wijnaldum;Central Midfield;31;18000000;France;Ligue 1;Paris Saint-Germain;Italy;Serie A;AS Roma;0
173;Ruslan Malinovskyi;Attacking Midfield;29;18000000;Italy;Serie A;Atalanta BC;France;Ligue 1;Olympique Marseille;0
174;Jesse Lingard;Attacking Midfield;29;18000000;England;Premier League;Manchester United;England;Premier League;Nottingham Forest;0
175;Dean Henderson;Goalkeeper;25;18000000;England;Premier League;Manchester United;England;Premier League;Nottingham Forest;0
176;Alex Telles;Left-Back;29;18000000;England;Premier League;Manchester United;Spain;LaLiga;Sevilla FC;0
189;Alessio Romagnoli;Centre-Back;27;17000000;Italy;Serie A;AC Milan;Italy;Serie A;SS Lazio;0
190;Destiny Udogie;Left-Back;19;17000000;England;Premier League;Tottenham Hotspur;Italy;Serie A;Udinese Calcio;0
191;Kasper Dolberg;Centre-Forward;24;17000000;France;Ligue 1;OGC Nice;Spain;LaLiga;Sevilla FC;0
192;Leandro Paredes;Defensive Midfield;28;17000000;France;Ligue 1;Paris Saint-Germain;Italy;Serie A;Juventus FC;0
193;Chancel Mbemba;Centre-Back;27;17000000;Portugal;Liga Portugal;FC Porto;France;Ligue 1;Olympique Marseille;0
206;Dele Alli;Attacking Midfield;26;16000000;England;Premier League;Everton FC;Turkey;Süper Lig;Besiktas JK;0
207;Luiz Felipe;Centre-Back;25;16000000;Italy;Serie A;SS Lazio;Spain;LaLiga;Real Betis Balompié;0
208;Bertrand Traoré;Right Winger;26;16000000;England;Premier League;Aston Villa;Turkey;Süper Lig;Basaksehir FK;0
209;Luka Jović;Centre-Forward;24;16000000;Spain;LaLiga;Real Madrid;Italy;Serie A;ACF Fiorentina;0
210;Diadié Samassékou;Defensive Midfield;26;16000000;Germany;Bundesliga;TSG 1899 Hoffenheim;Greece;Super League 1;Olympiacos Piraeus;0
211;Yuri Alberto;Centre-Forward;21;16000000;Russia;Premier Liga;Zenit St. Petersburg;Brazil;Paulistão A1 - Primeira fase;Sport Club Corinthians Paulista;0
212;Randal Kolo Muani;Centre-Forward;23;16000000;France;Ligue 1;FC Nantes;Germany;Bundesliga;Eintracht Frankfurt;0
233;Albert Sambi Lokonga;Central Midfield;23;15000000;England;Premier League;Arsenal FC;England;Premier League;Crystal Palace;0
234;Alexandre Lacazette;Centre-Forward;31;15000000;England;Premier League;Arsenal FC;France;Ligue 1;Olympique Lyon;0
235;Nuno Tavares;Left-Back;22;15000000;England;Premier League;Arsenal FC;France;Ligue 1;Olympique Marseille;0
236;Justin Kluivert;Left Winger;23;15000000;Italy;Serie A;AS Roma;Spain;LaLiga;Valencia CF;0
237;Corentin Tolisso;Central Midfield;27;15000000;Germany;Bundesliga;Bayern Munich;France;Ligue 1;Olympique Lyon;0
238;Harry Winks;Defensive Midfield;26;15000000;England;Premier League;Tottenham Hotspur;Italy;Serie A;UC Sampdoria;0
239;Fábio Silva;Centre-Forward;20;15000000;England;Premier League;Wolverhampton Wanderers;Belgium;Jupiler Pro League;RSC Anderlecht;0
240;Amad Diallo;Right Winger;20;15000000;England;Premier League;Manchester United;England;Championship;Sunderland AFC;0
251;Yangel Herrera;Central Midfield;24;14000000;England;Premier League;Manchester City;Spain;LaLiga;Girona FC;0
252;Walter Benítez;Goalkeeper;29;14000000;France;Ligue 1;OGC Nice;Netherlands;Eredivisie;PSV Eindhoven;0
253;Jason Denayer;Centre-Back;27;14000000;France;Ligue 1;Olympique Lyon;United Arab Emirates;UAE Pro League;FC Shabab Al-Ahli Dubai;0
254;Wout Weghorst;Centre-Forward;29;14000000;England;Championship;Burnley FC;Turkey;Süper Lig;Besiktas JK;0
255;Kayky;Right Winger;19;14000000;England;Premier League 2;Manchester City U21;Portugal;Liga Portugal;FC Paços de Ferreira;0
265;Djed Spence;Right-Back;22;13000000;England;Premier League;Tottenham Hotspur;France;Ligue 1;Stade Rennais FC;0
266;Ivan Ilić;Central Midfield;21;13000000;Italy;Serie A;Hellas Verona;Italy;Serie A;Torino FC;0
267;Calvin Stengs;Right Winger;23;13000000;France;Ligue 1;OGC Nice;Belgium;Jupiler Pro League;Royal Antwerp FC;0
268;Fábio Silva;Centre-Forward;20;13000000;England;Premier League;Wolverhampton Wanderers;Netherlands;Eredivisie;PSV Eindhoven;0
269;Ethan Ampadu;Centre-Back;21;13000000;England;Premier League;Chelsea FC;Italy;Serie A;Spezia Calcio;0
270;James Rodríguez;Attacking Midfield;31;13000000;Qatar;Stars League;Al-Rayyan SC;Greece;Super League 1;Olympiacos Piraeus;0
305;Divock Origi;Centre-Forward;27;12000000;England;Premier League;Liverpool FC;Italy;Serie A;AC Milan;0
306;Matt Doherty;Right-Back;31;12000000;England;Premier League;Tottenham Hotspur;Spain;LaLiga;Atlético de Madrid;0
307;André Onana;Goalkeeper;26;12000000;Netherlands;Eredivisie;Ajax Amsterdam;Italy;Serie A;Inter Milan;0
308;Marcos Alonso;Left-Back;31;12000000;England;Premier League;Chelsea FC;Spain;LaLiga;FC Barcelona;0
309;Clément Lenglet;Centre-Back;27;12000000;Spain;LaLiga;FC Barcelona;England;Premier League;Tottenham Hotspur;0
310;Bryan Gil;Left Winger;21;12000000;England;Premier League;Tottenham Hotspur;Spain;LaLiga;Sevilla FC;0
311;Adnan Januzaj;Right Winger;27;12000000;Spain;LaLiga;Real Sociedad;Spain;LaLiga;Sevilla FC;0
312;Ángel Di María;Right Winger;34;12000000;France;Ligue 1;Paris Saint-Germain;Italy;Serie A;Juventus FC;0
313;Kasper Dolberg;Centre-Forward;25;12000000;France;Ligue 1;OGC Nice;Germany;Bundesliga;TSG 1899 Hoffenheim;0
314;Sergi Canós;Right Winger;25;12000000;England;Premier League;Brentford FC;Greece;Super League 1;Olympiacos Piraeus;0
315;Gustavo Scarpa;Attacking Midfield;28;12000000;Brazil;Paulistão A1 - Primeira fase;Sociedade Esportiva Palmeiras;England;Premier League;Nottingham Forest;0
316;Loïc Badé;Centre-Back;22;12000000;France;Ligue 1;Stade Rennais FC;England;Premier League;Nottingham Forest;0
317;Sam Johnstone;Goalkeeper;29;12000000;England;Championship;West Bromwich Albion;England;Premier League;Crystal Palace;0
318;Andrey Santos;Central Midfield;18;12000000;England;Premier League;Chelsea FC;Brazil;Carioca - Taça Guanabara;Clube de Regatas Vasco da Gama;0
319;Taty Castellanos;Centre-Forward;23;12000000;United States;MLS;New York City FC;Spain;LaLiga;Girona FC;0
376;Marquinhos;Right Winger;19;10000000;England;Premier League;Arsenal FC;England;Championship;Norwich City;0
377;Ainsley Maitland-Niles;Right Midfield;25;10000000;England;Premier League;Arsenal FC;England;Premier League;Southampton FC;0
378;Allan;Defensive Midfield;31;10000000;England;Premier League;Everton FC;United Arab Emirates;UAE Pro League;Al-Wahda FC Abu Dhabi;0
379;Amine Harit;Attacking Midfield;25;10000000;Germany;Bundesliga;FC Schalke 04;France;Ligue 1;Olympique Marseille;0
380;Ivan Perisic;Left Midfield;33;10000000;Italy;Serie A;Inter Milan;England;Premier League;Tottenham Hotspur;0
381;Cyle Larin;Centre-Forward;27;10000000;Turkey;Süper Lig;Besiktas JK;Belgium;Jupiler Pro League;Club Brugge KV;0
382;Pape Gueye;Defensive Midfield;24;10000000;France;Ligue 1;Olympique Marseille;Spain;LaLiga;Sevilla FC;0
383;Loïc Badé;Centre-Back;22;10000000;France;Ligue 1;Stade Rennais FC;Spain;LaLiga;Sevilla FC;0
384;Serhou Guirassy;Centre-Forward;26;10000000;France;Ligue 1;Stade Rennais FC;Germany;Bundesliga;VfB Stuttgart;0
385;Federico Bernardeschi;Right Winger;28;10000000;Italy;Serie A;Juventus FC;Canada;MLS;Toronto FC;0
386;Nicolò Rovella;Defensive Midfield;20;10000000;Italy;Serie A;Juventus FC;Italy;Serie A;AC Monza;0
387;Stefan Posch;Centre-Back;25;10000000;Germany;Bundesliga;TSG 1899 Hoffenheim;Italy;Serie A;Bologna FC 1909;0
388;Ander Herrera;Central Midfield;33;10000000;France;Ligue 1;Paris Saint-Germain;Spain;LaLiga;Athletic Bilbao;0
389;Chris Wood;Centre-Forward;31;10000000;England;Premier League;Newcastle United;England;Premier League;Nottingham Forest;0
390;Alex Mowatt;Central Midfield;27;10000000;England;Championship;West Bromwich Albion;England;Championship;Middlesbrough FC;0
391;Jeff Reine-Adélaïde;Attacking Midfield;25;10000000;France;Ligue 1;Olympique Lyon;France;Ligue 1;ESTAC Troyes;0
392;Matheus Pereira;Attacking Midfield;26;10000000;Saudi Arabia;Saudi Pro League;Al-Hilal Saudi FC;United Arab Emirates;UAE Pro League;Al-Wahda FC Abu Dhabi;0
393;Florian Thauvin;Right Winger;30;10000000;Mexico;Liga MX Clausura;Tigres UANL;Italy;Serie A;Udinese Calcio;0
394;Kayky;Right Winger;19;10000000;England;Premier League 2;Manchester City U21;Brazil;Nordeste - Fase de Grupos;Esporte Clube Bahia;0
402;Miralem Pjanic;Central Midfield;32;9000000;Spain;LaLiga;FC Barcelona;United Arab Emirates;UAE Pro League;Sharjah FC;0
425;Jean-Philippe Gbamin;Defensive Midfield;26;9000000;England;Premier League;Everton FC;Turkey;Süper Lig;Trabzonspor;0
426;Angelo Fulgini;Attacking Midfield;26;9000000;Germany;Bundesliga;1.FSV Mainz 05;France;Ligue 1;RC Lens;0
427;Luis Suárez;Centre-Forward;25;9000000;France;Ligue 1;Olympique Marseille;Spain;LaLiga;UD Almería;0
428;Óscar Rodríguez;Attacking Midfield;24;9000000;Spain;LaLiga;Sevilla FC;Spain;LaLiga;Celta de Vigo;0
429;Luca Pellegrini;Left-Back;23;9000000;Italy;Serie A;Juventus FC;Italy;Serie A;SS Lazio;0
430;Luca Pellegrini;Left-Back;23;9000000;Italy;Serie A;Juventus FC;Germany;Bundesliga;Eintracht Frankfurt;0
431;Rafinha;Attacking Midfield;29;9000000;France;Ligue 1;Paris Saint-Germain;Qatar;Stars League;Al-Arabi SC;0
432;Unai Núñez;Centre-Back;25;9000000;Spain;LaLiga;Athletic Bilbao;Spain;LaLiga;Celta de Vigo;0
433;Portu;Right Winger;30;9000000;Spain;LaLiga;Real Sociedad;Spain;LaLiga;Getafe CF;0
435;Paco Alcácer;Centre-Forward;28;9000000;Spain;LaLiga;Villarreal CF;United Arab Emirates;UAE Pro League;Sharjah FC;0
436;Ilaix Moriba;Central Midfield;19;9000000;Germany;Bundesliga;RB Leipzig;Spain;LaLiga;Valencia CF;0
469;Jordan Larsson;Right Winger;25;8000000;Russia;Premier Liga;Spartak Moscow;Germany;Bundesliga;FC Schalke 04;0
470;Joshua King;Centre-Forward;30;8000000;England;Championship;Watford FC;Turkey;Süper Lig;Fenerbahce;0
471;Henrikh Mkhitaryan;Attacking Midfield;33;8000000;Italy;Serie A;AS Roma;Italy;Serie A;Inter Milan;0
472;Romain Saïss;Centre-Back;32;8000000;England;Premier League;Wolverhampton Wanderers;Turkey;Süper Lig;Besiktas JK;0
474;Jens Petter Hauge;Right Winger;22;8000000;Germany;Bundesliga;Eintracht Frankfurt;Belgium;Jupiler Pro League;KAA Gent;0
475;Joe Gelhardt;Centre-Forward;20;8000000;England;Premier League;Leeds United;England;Championship;Sunderland AFC;0
476;Christos Tzolis;Left Winger;20;8000000;England;Championship;Norwich City;Netherlands;Eredivisie;Twente Enschede FC;0
477;Abde Ezzalzouli;Left Winger;20;8000000;Spain;LaLiga;FC Barcelona;Spain;LaLiga;CA Osasuna;0
478;Kacper Kozlowski;Central Midfield;18;8000000;England;Premier League;Brighton & Hove Albion;Netherlands;Eredivisie;Vitesse Arnhem;0
479;Cameron Archer;Centre-Forward;21;8000000;England;Premier League;Aston Villa;England;Championship;Middlesbrough FC;0
480;Cédric Bakambu;Centre-Forward;31;8000000;France;Ligue 1;Olympique Marseille;Greece;Super League 1;Olympiacos Piraeus;0
481;João Victor;Centre-Back;24;8000000;Portugal;Liga Portugal;SL Benfica;France;Ligue 1;FC Nantes;0
482;Zinho Vanheusden;Centre-Back;22;8000000;Italy;Serie A;Inter Milan;Netherlands;Eredivisie;AZ Alkmaar;0
483;Isaac Hayden;Defensive Midfield;27;8000000;England;Premier League;Newcastle United;England;Championship;Norwich City;0
484;Abdallah Sima;Right Winger;21;8000000;England;Premier League;Brighton & Hove Albion;France;Ligue 1;Angers SCO;0
485;Pol Lirola;Right-Back;24;8000000;France;Ligue 1;Olympique Marseille;Spain;LaLiga;Elche CF;0
486;Marco Carnesecchi;Goalkeeper;22;8000000;Italy;Serie A;Atalanta BC;Italy;Serie A;US Cremonese;0
487;Djibril Sidibé;Right-Back;30;8000000;Monaco;Ligue 1;AS Monaco;Greece;Super League 1;AEK Athens;0
488;Munir El Haddadi;Centre-Forward;26;8000000;Spain;LaLiga;Sevilla FC;Spain;LaLiga;Getafe CF;0
489;Nedim Bajrami;Attacking Midfield;23;8000000;Italy;Serie A;FC Empoli;Italy;Serie A;US Sassuolo;0
490;Reinier;Attacking Midfield;20;8000000;Spain;LaLiga;Real Madrid;Spain;LaLiga;Girona FC;0
501;Grischa Prömel;Central Midfield;27;7000000;Germany;Bundesliga;1.FC Union Berlin;Germany;Bundesliga;TSG 1899 Hoffenheim;0
502;Alexandru Cicaldau;Central Midfield;25;7000000;Turkey;Süper Lig;Galatasaray;United Arab Emirates;UAE Pro League;Al-Ittihad Kalba SC;0
503;Isco;Attacking Midfield;30;7000000;Spain;LaLiga;Real Madrid;Spain;LaLiga;Sevilla FC;0
504;Ezgjan Alioski;Left-Back;30;7000000;Saudi Arabia;Without League;Al-Ahli Saudi FC;Turkey;Süper Lig;Fenerbahce;0
541;Anthony Caci;Left-Back;25;7000000;France;Ligue 1;RC Strasbourg Alsace;Germany;Bundesliga;1.FSV Mainz 05;0
542;John Swift;Central Midfield;27;7000000;England;Championship;Reading FC;England;Championship;West Bromwich Albion;0
543;Taylor Harwood-Bellis;Centre-Back;20;7000000;England;Premier League 2;Manchester City U21;England;Championship;Burnley FC;0
544;Stefano Sensi;Central Midfield;26;7000000;Italy;Serie A;Inter Milan;Italy;Serie A;AC Monza;0
545;Martín Satriano;Centre-Forward;21;7000000;Italy;Serie A;Inter Milan;Italy;Serie A;FC Empoli;0
546;Colin Dagba;Right-Back;23;7000000;France;Ligue 1;Paris Saint-Germain;France;Ligue 1;RC Strasbourg Alsace;0
547;Ghislain Konan;Left-Back;26;7000000;France;Ligue 1;Stade Reims;Saudi Arabia;Saudi Pro League;Al-Nassr FC;0
548;Thomas Strakosha;Goalkeeper;27;7000000;Italy;Serie A;SS Lazio;England;Premier League;Brentford FC;0
549;Samuel Lino;Left Winger;22;7000000;Spain;LaLiga;Atlético de Madrid;Spain;LaLiga;Valencia CF;0
550;Thomas Strakosha;Goalkeeper;27;7000000;Italy;Serie A;SS Lazio;England;Premier League;Brentford FC;0
551;Colin Dagba;Right-Back;23;7000000;France;Ligue 1;Paris Saint-Germain;France;Ligue 1;RC Strasbourg Alsace;0
552;Igor Gomes;Central Midfield;23;7000000;Brazil;Paulistão A1 - Primeira fase;São Paulo Futebol Clube;Brazil;Campeonato Mineiro;Clube Atlético Mineiro;0
553;Anthony Caci;Left-Back;25;7000000;France;Ligue 1;RC Strasbourg Alsace;Germany;Bundesliga;1.FSV Mainz 05;0
554;Ui-jo Hwang;Centre-Forward;29;7000000;England;Premier League;Nottingham Forest;Greece;Super League 1;Olympiacos Piraeus;0
556;John Swift;Central Midfield;27;7000000;England;Championship;Reading FC;England;Championship;West Bromwich Albion;0
557;Uroš Račić;Defensive Midfield;24;7000000;Spain;LaLiga;Valencia CF;Portugal;Liga Portugal;SC Braga;0
558;Milot Rashica;Right Winger;26;7000000;England;Championship;Norwich City;Turkey;Süper Lig;Galatasaray;0
559;Ghislain Konan;Left-Back;26;7000000;France;Ligue 1;Stade Reims;Saudi Arabia;Saudi Pro League;Al-Nassr FC;0
560;Yeferson Soteldo;Left Winger;25;7000000;Mexico;Liga MX Clausura;Tigres UANL;Brazil;Série A;Santos FC;0
561;Liam Delap;Centre-Forward;19;7000000;England;Premier League 2;Manchester City U21;England;Championship;Preston North End;0
562;Taylor Harwood-Bellis;Centre-Back;20;7000000;England;Premier League 2;Manchester City U21;England;Championship;Burnley FC;0
579;Santiago Ascacíbar;Defensive Midfield;25;6000000;Germany;Bundesliga;Hertha BSC;Argentina;Liga Profesional;Club Estudiantes de La Plata;0
580;Niklas Stark;Centre-Back;27;6000000;Germany;Bundesliga;Hertha BSC;Germany;Bundesliga;SV Werder Bremen;0
581;Santiago Ascacíbar;Defensive Midfield;25;6000000;Germany;Bundesliga;Hertha BSC;Italy;Serie A;US Cremonese;0
582;Rémy Cabella;Attacking Midfield;32;6000000;France;Ligue 1;Montpellier HSC;France;Ligue 1;LOSC Lille;0
583;Jed Wallace;Right Winger;28;6000000;England;Championship;Millwall FC;England;Championship;West Bromwich Albion;0
631;Artem Dzyuba;Centre-Forward;33;6000000;Russia;Premier Liga;Zenit St. Petersburg;Turkey;Süper Lig;Adana Demirspor;0
632;Filip Uremovic;Centre-Back;25;6000000;Russia;1.Division;Rubin Kazan;Germany;Bundesliga;Hertha BSC;0
633;Otávio;Defensive Midfield;28;6000000;France;Ligue 2;FC Girondins Bordeaux;Brazil;Série A;Clube Atlético Mineiro;0
634;Bruma;Left Winger;27;6000000;Netherlands;Eredivisie;PSV Eindhoven;Turkey;Süper Lig;Fenerbahce;0
635;Ki-Jana Hoever;Right-Back;20;6000000;England;Premier League;Wolverhampton Wanderers;Netherlands;Eredivisie;PSV Eindhoven;0
636;Stefan Ortega;Goalkeeper;29;6000000;Germany;2. Bundesliga;Arminia Bielefeld;England;Premier League;Manchester City;0
637;Ermedin Demirovic;Centre-Forward;24;6000000;Germany;Bundesliga;SC Freiburg;Germany;Bundesliga;FC Augsburg;0
638;Aaron Connolly;Centre-Forward;22;6000000;England;Premier League;Brighton & Hove Albion;Italy;Serie B;Venezia FC;0
639;Zack Steffen;Goalkeeper;27;6000000;England;Premier League;Manchester City;England;Championship;Middlesbrough FC;0
640;Luis Henrique;Left Winger;20;6000000;France;Ligue 1;Olympique Marseille;Brazil;Série A;Botafogo de Futebol e Regatas;0
641;Sávio;Right Winger;18;6000000;France;Ligue 1;ESTAC Troyes;Netherlands;Eredivisie;PSV Eindhoven;0
643;Óscar Mingueza;Centre-Back;23;6000000;Spain;LaLiga;FC Barcelona;Spain;LaLiga;Celta de Vigo;0
644;Valentino Lazaro;Right-Back;26;6000000;Italy;Serie A;Inter Milan;Italy;Serie A;Torino FC;0
645;Mohamed Daramy;Left Winger;20;6000000;Netherlands;Eredivisie;Ajax Amsterdam;Denmark;Superligaen;FC Copenhagen;0
646;Konrad de la Fuente;Left Winger;21;6000000;France;Ligue 1;Olympique Marseille;Greece;Super League 1;Olympiacos Piraeus;0
647;Lys Mousset;Centre-Forward;26;6000000;England;Championship;Sheffield United;Germany;Bundesliga;VfL Bochum;0
648;Marin Pongracic;Centre-Back;24;6000000;Germany;Bundesliga;VfL Wolfsburg;Italy;Serie A;US Lecce;0
649;Mahdi Camara;Central Midfield;24;6000000;France;Ligue 2;AS Saint-Étienne;France;Ligue 1;Stade Brestois 29;0
650;Daley Blind;Left-Back;32;6000000;Netherlands;Eredivisie;Ajax Amsterdam;Germany;Bundesliga;Bayern Munich;0
651;Mohamed Daramy;Left Winger;20;6000000;Netherlands;Eredivisie;Ajax Amsterdam;Denmark;Superligaen;FC Copenhagen;0
652;Mahdi Camara;Central Midfield;24;6000000;France;Ligue 2;AS Saint-Étienne;France;Ligue 1;Stade Brestois 29;0
653;Adil Aouchiche;Attacking Midfield;20;6000000;France;Ligue 2;AS Saint-Étienne;France;Ligue 1;FC Lorient;0
654;Artem Dzyuba;Centre-Forward;33;6000000;Russia;Premier Liga;Zenit St. Petersburg;Turkey;Süper Lig;Adana Demirspor;0
656;Axel Tuanzebe;Centre-Back;25;6000000;England;Premier League;Manchester United;England;Championship;Stoke City;0
